Station Name,Street Address,City,State,ZIP,Latitude,Longitude
Municipal Garage,200 N Holliday St,Baltimore,MD,21202,39.291785,-76.610539
McHenry Row - Harris Teeter,1801 Whetstone Way,Baltimore,MD,21230,39.26894,-76.5996
UM PTS,5 North Paca Street,Baltimore,MD,21201,39.289413,-76.622039
UM PTS,622 W Fayette St,Baltimore,MD,21201,39.2907645,-76.6243896
UM PTS,646 W Pratt St,Baltimore,MD,21201,39.286345,-76.624966
UM PTS,500 West Redwood Street,Baltimore,MD,21201,39.2880795,-76.6226786
EVSP WALGREENS,3801 Liberty Heights Ave,Baltimore,MD,21215,39.3268344,-76.6818006
Antwerpen Nissan,1701 Woodlawn Dr,Baltimore,MD,21207,39.312935,-76.734569
Bob Bell Nissan,7900 Eastern Ave,Baltimore,MD,21224,39.296284,-76.509019
MTA,5701 Smith Ave,Baltimore,MD,21209,39.368244,-76.6523393
Bob Davidson Ford Lincoln,1845 E Joppa Rd,Baltimore,MD,21234,39.399825,-76.551098
BMW CATONSVILLE,6700 Baltimore National Pike,Baltimore,MD,21228,39.2899837,-76.7703675
OAK CREST,3700 E Northern Pkwy,Baltimore,MD,21206,39.35846,-76.5365617
UM PTS,220 S Arch St,Baltimore,MD,21201,39.2921489,-76.6254876
UM PTS,500-598 W Redwood St,Baltimore,MD,21201,39.2886962,-76.6233853
Maryland Institute College of Art - Commons Hall,130 McMechen St,Baltimore,MD,21217,39.308846,-76.625419
Maryland Institute College of Art - Lazarus Center,131 W North Ave,Baltimore,MD,21201,39.31074,-76.618931
University of Baltimore - Maryland Avenue Garage,1104 Maryland Ave,Baltimore,MD,21201,39.302352,-76.617606
Mayflower Properties,1110 Morton St,Baltimore,MD,21201,39.30246,-76.616698
First United Evangelical and Reformed Church,6115 O'Donnell St,Baltimore,MD,21224,39.281321,-76.542569
Marriott Garage,101 S Paca St,Baltimore,MD,21201,39.287168,-76.621895
EVSP WALGREENS,4020 Eastern Ave,Baltimore,MD,21224,39.2871823,-76.5630476
Redwood Garage,11 S Eutaw St,Baltimore,MD,21201,39.288504,-76.620394
Fleet & Eden Garage,501 S Eden St,Baltimore,MD,21231,39.285366,-76.598315
Signet Garage,210 Guilford Ave,Baltimore,MD,21202,39.29195,-76.611345
Cathedral Garage,320 Cathedral St,Baltimore,MD,21201,39.293793,-76.616977
Arena Garage,201 W Baltimore St,Baltimore,MD,21201,39.289385,-76.618742
Water Street Garage,22 S Gray St,Baltimore,MD,21201,39.288514,-76.611444
Back River Treatment Plant,8201 Eastern Ave,Baltimore,MD,21224,39.300234,-76.492813
EVSP WALGREENS,6301 York Rd,Baltimore,MD,21212,39.3713219,-76.609294
EVSP WALGREENS,1300 E North Ave,Baltimore,MD,21213,39.3123477,-76.5996679
TRANSPORTATION,6401 Security Blvd,Baltimore,MD,21235,39.311669,-76.730852
MTA,401 N Smallwood St,Baltimore,MD,21223,39.292978,-76.651184
Carrollton Inn,50 Albermarle St,Baltimore,MD,21202,39.288678,-76.604209
GE WattStation WMPlz East,400  E Lexington St,Baltimore,MD,21202,39.291177,-76.60939
Fox and Bunting Building,1303 W Mount Royal Ave,Baltimore,MD,21217,39.308041,-76.621291
Baltimore City,400 E Lexington St,Baltimore,MD,21202,39.291205,-76.609313
Hotel Indigo,24 W Franklin St,Baltimore,MD,21201,39.295255,-76.61648
Montebello Filtration Plant,3901 Hillen Rd,Baltimore,MD,21218,39.336584,-76.588301
BMW BALTIMORE,2700 BROENING HWY,Baltimore,MD,21222,39.2529015,-76.5334073
Conservatory and Botanic Gardens,3100 Swann Dr,Baltimore,MD,21217,39.318709,-76.647197
Patterson Park,200 S Linwood Ave,Baltimore,MD,21224,39.288621,-76.576047
Maryland Center for Veterans Education and Training,301 N High St,Baltimore,MD,21202,39.293619,-76.606356
Baltimore Public Works Museum,751 Eastern Ave,Baltimore,MD,21202,39.284815,-76.603415
EXELON,1401 Dock Street,Baltimore,MD,21231,39.281345,-76.597487
UM PTS,114-198 Penn St,Baltimore,MD,21201,39.2864772,-76.6259743
M&T Bank Stadium,1101 Russell St,Baltimore,MD,21230,39.279829,-76.622383
ROYAL FARMS,6201 Pulaski Highway,Baltimore,MD,21205,39.3019263,-76.5438163
Hamilton Library,5910 Harford Rd,Baltimore,MD,21214,39.356533,-76.558482
Orleans Street Library,1303 Orleans St,Baltimore,MD,21231,39.29447,-76.599243
Reisterstown Road Library,6310 Reisterstown Rd,Baltimore,MD,21215,39.354424,-76.700634
Light Street Library,1251 Light St,Baltimore,MD,21230,39.275068,-76.611912
Roland Park Library,5108 Roland Ave,Baltimore,MD,21210,39.355737,-76.635104
Clifton Park Golf Course,2701 St Lo Dr,Baltimore,MD,21213,39.32159779,-76.58783514
Carroll Park Golf Course,2100 Washington Blvd,Baltimore,MD,21230,39.27267,-76.648655
Cylburn Arboretum,4975 Greenspring Ave,Baltimore,MD,21209,39.352944,-76.659878
Camden Yards,333 W Camden St,Baltimore,MD,21201,39.284664,-76.619604
Mount Pleasant Ice Arena,6101 Hillen Rd,Baltimore,MD,21239,39.368847,-76.577788
